Ano;ProcessoSeletivo;Curso;SiglaModalidadeVaga;ModalidadeVaga;Semestre;NrVagas
2018;Vestibular;Administração - Diurno;AC/A0;Ampla Concorrência;1;14
2018;Vestibular;Administração - Diurno;AC/A0;Ampla Concorrência;2;14
2018;Vestibular;Administração - Diurno;L1;Egresso de Escola Pública - Renda Inferior;1;2
2018;Vestibular;Administração - Diurno;L1;Egresso de Escola Pública - Renda Inferior;2;1
2018;Vestibular;Administração - Diurno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Administração - Diurno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Administração - Diurno;L13;Egresso de Escola Pública - Pessoa com deficiência;1;2
2018;Vestibular;Administração - Diurno;L13;Egresso de Escola Pública - Pessoa com deficiência;2;2
2018;Vestibular;Administração - Diurno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Administração - Diurno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Administração - Diurno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;2
2018;Vestibular;Administração - Diurno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;2;1
2018;Vestibular;Administração - Diurno;L3/L5;Egresso de Escola Pública;1;1
2018;Vestibular;Administração - Diurno;L3/L5;Egresso de Escola Pública;2;2
2018;Vestibular;Administração - Diurno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;1
2018;Vestibular;Administração - Diurno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;2;2
2018;Vestibular;Administração - Diurno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;2
2018;Vestibular;Administração - Diurno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;2;2
2018;Vestibular;Administração - Noturno;AC/A0;Ampla Concorrência;1;28
2018;Vestibular;Administração - Noturno;AC/A0;Ampla Concorrência;2;28
2018;Vestibular;Administração - Noturno;L1;Egresso de Escola Pública - Renda Inferior;1;4
2018;Vestibular;Administração - Noturno;L1;Egresso de Escola Pública - Renda Inferior;2;3
2018;Vestibular;Administração - Noturno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;4
2018;Vestibular;Administração - Noturno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;2;3
2018;Vestibular;Administração - Noturno;L13;Egresso de Escola Pública - Pessoa com deficiência;1;3
2018;Vestibular;Administração - Noturno;L13;Egresso de Escola Pública - Pessoa com deficiência;2;4
2018;Vestibular;Administração - Noturno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;3
2018;Vestibular;Administração - Noturno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;2;4
2018;Vestibular;Administração - Noturno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;4
2018;Vestibular;Administração - Noturno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;2;3
2018;Vestibular;Administração - Noturno;L3/L5;Egresso de Escola Pública;1;3
2018;Vestibular;Administração - Noturno;L3/L5;Egresso de Escola Pública;2;4
2018;Vestibular;Administração - Noturno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;1;3
2018;Vestibular;Administração - Noturno;L4/L6;Egresso de Escola Pública - Autodeclarado PPI;2;4
2018;Vestibular;Administração - Noturno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;1;4
2018;Vestibular;Administração - Noturno;L9;Egresso de Escola Pública - Renda Inferior - Pessoa com deficiência;2;3
2018;Vestibular;Administração Pública e Social - Noturno;AC/A0;Ampla Concorrência;1;14
2018;Vestibular;Administração Pública e Social - Noturno;AC/A0;Ampla Concorrência;2;14
2018;Vestibular;Administração Pública e Social - Noturno;L1;Egresso de Escola Pública - Renda Inferior;1;2
2018;Vestibular;Administração Pública e Social - Noturno;L1;Egresso de Escola Pública - Renda Inferior;2;1
2018;Vestibular;Administração Pública e Social - Noturno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Administração Pública e Social - Noturno;L10;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Administração Pública e Social - Noturno;L13;Egresso de Escola Pública - Pessoa com deficiência;1;2
2018;Vestibular;Administração Pública e Social - Noturno;L13;Egresso de Escola Pública - Pessoa com deficiência;2;2
2018;Vestibular;Administração Pública e Social - Noturno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;1;2
2018;Vestibular;Administração Pública e Social - Noturno;L14;Egresso de Escola Pública - Autodeclarado PPI - Pessoa com deficiência;2;2
2018;Vestibular;Administração Pública e Social - Noturno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;1;2
2018;Vestibular;Administração Pública e Social - Noturno;L2;Egresso de Escola Pública - Renda Inferior - Autodeclarado PPI;2;1
2018;Vestibular;Administração Pública e Social - Noturno;L3/L5;Egresso de Escola Pública;1;1
2018;Vestibular;Administração Pública e Social - Noturno;L3/L5;Egresso de Escola Pública;2;2
