CodCurso;NomeCurso;Ano;Periodo;Vinculados;Matriculados;Ingressantes;Diplomados;Evadidos
298;ADMINISTRAÇÃO;2010;1;1501;1349;169;91;24
583;ADMINISTRAÇÃO - EAD;2010;1;351;345;1;0;6
299;AGRONOMIA;2010;1;494;448;50;31;19
300;ARQUITETURA E URBANISMO;2010;1;625;578;53;41;12
301;ARQUIVOLOGIA;2010;1;157;134;30;4;6
303;ARTES VISUAIS;2010;1;593;500;86;37;19
801;ARTES VISUAIS - ENSINO A DISTÂNCIA - EAD;2010;1;90;90;0;0;0
304;BIBLIOTECONOMIA;2010;1;401;354;40;15;12
361;BIOMEDICINA;2010;1;130;126;33;0;2
910;BIOTECNOLOGIA;2010;1;29;29;29;0;0
305;CIÊNCIA DA COMPUTAÇÃO;2010;1;605;539;75;32;16
306;CIÊNCIAS ATUARIAIS;2010;1;191;163;40;3;9
307;CIÊNCIAS BIOLÓGICAS;2010;1;586;496;48;14;30
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2010;1;64;63;0;0;1
802;CIÊNCIAS BIOLÓGICAS - ENSINO A DISTANCIA - EAD;2010;1;49;22;0;0;0
308;CIÊNCIAS CONTÁBEIS;2010;1;727;630;73;41;31
309;CIÊNCIAS ECONÔMICAS;2010;1;830;717;84;42;19
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2010;1;814;765;145;5;12
312;CIÊNCIAS SOCIAIS;2010;1;1128;910;167;51;67
313;COMUNICAÇÃO SOCIAL;2010;1;795;704;70;48;14
805;DANÇA;2010;1;59;52;30;0;0
524;DESIGN;2010;1;171;163;30;0;2
1481;DESIGN DE PRODUTO;2010;1;16;15;4;0;0
1482;DESIGN VISUAL;2010;1;20;19;7;0;0
314;EDUCAÇÃO FÍSICA;2010;1;831;713;81;37;35
315;ENFERMAGEM;2010;1;456;429;53;36;11
526;ENGENHARIA AMBIENTAL;2010;1;146;139;30;0;1
316;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;2010;1;187;158;34;3;14
317;ENGENHARIA CIVIL;2010;1;982;892;82;47;21
319;ENGENHARIA DE ALIMENTOS;2010;1;174;161;30;1;3
318;ENGENHARIA DE COMPUTAÇÃO;2010;1;243;226;31;12;8
714;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;2010;1;87;79;31;0;0
